2025/05/07 00:33:10 [error] 28#28: *1 open() "/var/www/public/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/09 01:02:07 [error] 28#28: *1 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /public/assets/css/login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/09 23:50:24 [error] 28#28: *1 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /public/assets/css/login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:01:48 [error] 28#28: *109 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/index.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:01:49 [error] 28#28: *107 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/index.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:30:53 [error] 29#29: *186 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /app/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:30:53 [error] 29#29: *183 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /app/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:31:14 [error] 29#29: *186 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:31:21 [error] 29#29: *185 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /app/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:31:21 [error] 29#29: *186 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /app/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:31:22 [error] 29#29: *185 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /app/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:33:33 [error] 30#30: *195 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /app/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:33:33 [error] 30#30: *195 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:33:34 [error] 30#30: *192 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /app/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:33:34 [error] 30#30: *192 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:33:34 [error] 30#30: *195 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /app/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/10 02:33:34 [error] 30#30: *195 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:33:45 [error] 30#30: *193 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:34:01 [error] 30#30: *195 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:34:01 [error] 30#30: *193 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:34:01 [error] 30#30: *195 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/public/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:34:56 [error] 30#30: *193 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:35:15 [error] 30#30: *195 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:35:15 [error] 30#30: *193 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:35:15 [error] 30#30: *195 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:35:15 [error] 30#30: *193 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:35:15 [error] 30#30: *195 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/assets/images/cin-cin.png HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:36:22 [error] 30#30: *210 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/assets/images/defaults/cin-cin.jpeg HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:36:29 [error] 30#30: *208 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/assets/images/defaults/cin-cin.jpeg HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:36:30 [error] 30#30: *210 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/assets/images/defaults/cin-cin.jpeg HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:36:30 [error] 30#30: *208 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/assets/images/defaults/cin-cin.jpeg HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 02:36:30 [error] 30#30: *210 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/assets/images/defaults/cin-cin.jpeg HTTP/1.1", host: "localhost", referrer: "http://localhost/assets/css/index.css"
2025/10/10 03:20:10 [error] 32#32: *401 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /assets/css/index.css HTTP/1.1", host: "localhost", referrer: "http://localhost/?"
